# x_m, y_m, w_tr_right_m, w_tr_left_m
-53.0625, -10.8750, 1.4375, 1.4375
-53.0625, -10.9375, 1.4375, 1.4375
-53.0625, -11.0000, 1.4375, 1.4375
-53.0625, -11.0625, 1.4375, 1.4375
-53.0625, -11.1250, 1.4375, 1.4375
-53.0625, -11.1875, 1.4375, 1.4375
-53.0625, -11.2500, 1.4375, 1.4375
-53.0625, -11.3125, 1.4375, 1.4375
-53.0625, -11.3750, 1.4375, 1.4375
-53.0625, -11.4375, 1.4375, 1.4375
-53.0625, -11.5000, 1.4375, 1.4375
-53.0625, -11.5625, 1.4375, 1.4375
-53.0625, -11.6250, 1.4375, 1.4375
-53.0625, -11.6875, 1.4375, 1.4375
-53.0625, -11.7500, 1.4375, 1.4375
-53.0625, -11.8125, 1.4375, 1.4375
-53.0625, -11.8750, 1.4375, 1.4375
-53.0625, -11.9375, 1.4375, 1.4375
-53.0625, -12.0000, 1.4375, 1.4375
-53.0625, -12.0625, 1.4375, 1.4375
-53.0625, -12.1250, 1.4375, 1.4375
-53.0625, -12.1875, 1.4375, 1.4375
-53.0625, -12.2500, 1.4375, 1.4375
-53.0625, -12.3125, 1.4375, 1.4375
-53.0625, -12.3750, 1.4375, 1.4375
-53.0625, -12.4375, 1.4375, 1.4375
-53.0625, -12.5000, 1.4375, 1.4375
-53.0625, -12.5625, 1.4375, 1.4375
-53.0625, -12.6250, 1.4375, 1.4375
-53.0625, -12.6875, 1.4375, 1.4375
-53.0625, -12.7500, 1.4375, 1.4375
-53.0625, -12.8125, 1.4375, 1.4375
-53.0625, -12.8750, 1.4375, 1.4375
-53.0625, -12.9375, 1.4375, 1.4375
-53.0625, -13.0000, 1.4375, 1.4375
-53.0625, -13.0625, 1.4375, 1.4375
-53.0625, -13.1250, 1.4375, 1.4375
-53.0625, -13.1875, 1.4375, 1.4375
-53.0625, -13.2500, 1.4375, 1.4375
-53.0625, -13.3125, 1.4375, 1.4375
-53.0625, -13.3750, 1.4375, 1.4375
-53.0625, -13.4375, 1.4375, 1.4375
-53.0625, -13.5000, 1.4375, 1.4375
-53.0625, -13.5625, 1.4375, 1.4375
-53.0625, -13.6250, 1.4375, 1.4375
-53.0625, -13.6875, 1.4375, 1.4375
-53.0625, -13.7500, 1.4375, 1.4375
-53.0625, -13.8125, 1.4375, 1.4375
-53.0625, -13.8750, 1.4375, 1.4375
-53.0625, -13.9375, 1.4375, 1.4375
-53.0625, -14.0000, 1.4375, 1.4375
-53.0625, -14.0625, 1.4375, 1.4375
-53.0625, -14.1250, 1.4375, 1.4375
-53.0625, -14.1875, 1.4375, 1.4375
-53.0625, -14.2500, 1.4375, 1.4375
-53.0625, -14.3125, 1.4375, 1.4375
-53.0625, -14.3750, 1.4375, 1.4375
-53.0625, -14.4375, 1.4375, 1.4375
-53.0625, -14.5000, 1.4375, 1.4375
-53.0625, -14.5625, 1.4375, 1.4375
-53.0625, -14.6250, 1.4375, 1.4375
-53.0625, -14.6875, 1.4375, 1.4375
-53.0625, -14.7500, 1.4375, 1.4375
-53.0625, -14.8125, 1.4375, 1.4375
-53.0625, -14.8750, 1.4375, 1.4375
-53.0625, -14.9375, 1.4375, 1.4375
-53.0625, -15.0000, 1.4375, 1.4375
-53.0625, -15.0625, 1.4375, 1.4375
-53.0625, -15.1250, 1.4375, 1.4375
-53.0625, -15.1875, 1.4375, 1.4375
-53.0625, -15.2500, 1.4375, 1.4375
-53.0625, -15.3125, 1.4375, 1.4375
-53.0625, -15.3750, 1.4375, 1.4375
-53.0625, -15.4375, 1.4375, 1.4375
-53.0625, -15.5000, 1.4375, 1.4375
-53.0625, -15.5625, 1.4375, 1.4375
-53.0625, -15.6250, 1.4375, 1.4375
-53.0625, -15.6875, 1.4375, 1.4375
-53.0625, -15.7500, 1.4375, 1.4375
-53.0625, -15.8125, 1.4375, 1.4375
-53.0625, -15.8750, 1.4375, 1.4375
-53.0625, -15.9375, 1.4375, 1.4375
-53.0625, -16.0000, 1.4375, 1.4375
-53.0625, -16.0625, 1.4375, 1.4375
-53.0625, -16.1250, 1.4375, 1.4375
-53.0625, -16.1875, 1.4375, 1.4375
-53.0625, -16.2500, 1.4375, 1.4375
-53.0625, -16.3125, 1.4375, 1.4375
-53.0625, -16.3750, 1.4375, 1.4375
-53.0625, -16.4375, 1.4375, 1.4375
-53.0625, -16.5000, 1.4375, 1.4375
-53.0625, -16.5625, 1.4375, 1.4375
-53.0625, -16.6250, 1.4375, 1.4375
-53.0625, -16.6875, 1.4375, 1.4375
-53.0625, -16.7500, 1.4375, 1.4375
-53.0625, -16.8125, 1.4375, 1.4375
-53.0625, -16.8750, 1.4375, 1.4375
-53.0625, -16.9375, 1.4375, 1.4375
-53.0625, -17.0000, 1.4375, 1.4375
-53.0625, -17.0625, 1.4375, 1.4375
-53.0625, -17.1250, 1.4375, 1.4375
-53.0625, -17.1875, 1.4375, 1.4375
-53.0625, -17.2500, 1.4375, 1.4375
-53.0625, -17.3125, 1.4375, 1.4375
-53.0625, -17.3750, 1.4375, 1.4375
-53.0625, -17.4375, 1.4375, 1.4375
-53.0625, -17.5000, 1.4375, 1.4375
-53.0625, -17.5625, 1.4375, 1.4375
-53.0625, -17.6250, 1.4375, 1.4375
-53.0625, -17.6875, 1.4375, 1.4375
-53.0625, -17.7500, 1.4375, 1.4375
-53.0625, -17.8125, 1.4375, 1.4375
-53.0625, -17.8750, 1.4375, 1.4375
-53.0625, -17.9375, 1.4375, 1.4375
-53.0625, -18.0000, 1.4375, 1.4375
-53.0625, -18.0625, 1.4375, 1.4375
-53.0625, -18.1250, 1.4375, 1.4375
-53.0625, -18.1875, 1.4375, 1.4375
-53.0625, -18.2500, 1.4375, 1.4375
-53.0625, -18.3125, 1.4375, 1.4375
-53.0625, -18.3750, 1.4375, 1.4375
-53.0625, -18.4375, 1.4375, 1.4375
-53.0625, -18.5000, 1.4375, 1.4375
-53.0625, -18.5625, 1.4375, 1.4375
-53.0625, -18.6250, 1.4375, 1.4375
-53.0625, -18.6875, 1.4375, 1.4375
-53.0625, -18.7500, 1.4375, 1.4375
-53.0625, -18.8125, 1.4375, 1.4375
-53.0625, -18.8750, 1.4375, 1.4375
-53.0625, -18.9375, 1.4375, 1.4375
-53.0625, -19.0000, 1.4375, 1.4375
-53.0625, -19.0625, 1.4375, 1.4375
-53.0625, -19.1250, 1.4375, 1.4375
-53.0625, -19.1875, 1.4375, 1.4375
-53.0625, -19.2500, 1.4375, 1.4375
-53.0625, -19.3125, 1.4375, 1.4375
-53.0625, -19.3750, 1.4375, 1.4375
-53.0625, -19.4375, 1.4375, 1.4375
-53.0625, -19.5000, 1.4375, 1.4375
-53.0625, -19.5625, 1.4375, 1.4375
-53.0625, -19.6250, 1.4375, 1.4375
-53.0625, -19.6875, 1.4375, 1.4375
-53.0625, -19.7500, 1.4375, 1.4375
-53.0625, -19.8125, 1.4375, 1.4375
-53.0625, -19.8750, 1.4375, 1.4375
-53.0625, -19.9375, 1.4375, 1.4375
-53.0625, -20.0000, 1.4375, 1.4375
-53.0625, -20.0625, 1.4375, 1.4375
-53.0625, -20.1250, 1.4375, 1.4375
-53.0625, -20.1875, 1.4375, 1.4375
-53.0625, -20.2500, 1.4375, 1.4375
-53.0625, -20.3125, 1.4375, 1.4375
-53.0625, -20.3750, 1.4375, 1.4375
-53.0625, -20.4375, 1.4375, 1.4375
-53.0625, -20.5000, 1.4375, 1.4375
-53.0625, -20.5625, 1.4375, 1.4375
-53.0625, -20.6250, 1.4375, 1.4375
-53.0625, -20.6875, 1.4375, 1.4375
-53.0625, -20.7500, 1.4375, 1.4375
-53.0625, -20.8125, 1.4375, 1.4375
-53.0625, -20.8750, 1.4375, 1.4375
-53.0625, -20.9375, 1.4375, 1.4375
-53.0625, -21.0000, 1.4375, 1.4375
-53.0625, -21.0625, 1.4375, 1.4375
-53.0625, -21.1250, 1.4375, 1.4375
