# x_m, y_m, w_tr_right_m, w_tr_left_m
21.3125, -23.5000, 1.4101, 1.4101
21.3750, -23.5000, 1.4101, 1.4101
21.4375, -23.5000, 1.3975, 1.3975
21.5000, -23.5625, 1.3975, 1.3975
21.5625, -23.5625, 1.4101, 1.4101
21.6250, -23.5625, 1.4045, 1.4045
21.6875, -23.5625, 1.3835, 1.3835
21.7500, -23.6250, 1.4045, 1.4045
21.8125, -23.6250, 1.4101, 1.4101
21.8750, -23.6250, 1.3975, 1.3975
21.9375, -23.6875, 1.3975, 1.3975
22.0000, -23.6875, 1.4101, 1.4101
22.0625, -23.6875, 1.4101, 1.4101
22.1250, -23.6875, 1.3975, 1.3975
22.1875, -23.7500, 1.3975, 1.3975
22.2500, -23.7500, 1.4101, 1.4101
22.3125, -23.7500, 1.4101, 1.4101
22.3750, -23.7500, 1.3975, 1.3975
22.4375, -23.8125, 1.3975, 1.3975
22.5000, -23.8125, 1.4101, 1.4101
22.5625, -23.8125, 1.4101, 1.4101
22.6250, -23.8750, 1.3835, 1.3835
22.6875, -23.8750, 1.3975, 1.3975
22.7500, -23.8750, 1.4101, 1.4101
22.8125, -23.8750, 1.4252, 1.4252
22.8750, -23.8750, 1.4101, 1.4101
22.9375, -23.9375, 1.3877, 1.3877
23.0000, -23.9375, 1.3975, 1.3975
23.0625, -23.9375, 1.4101, 1.4101
23.1250, -23.9375, 1.4101, 1.4101
23.1875, -24.0000, 1.3835, 1.3835
23.2500, -24.0000, 1.3975, 1.3975
23.3125, -24.0000, 1.4101, 1.4101
23.3750, -24.0000, 1.4101, 1.4101
23.4375, -24.0000, 1.3975, 1.3975
23.5000, -24.0000, 1.3877, 1.3877
23.5625, -24.0625, 1.3975, 1.3975
23.6250, -24.0625, 1.4101, 1.4101
23.6875, -24.0625, 1.4101, 1.4101
23.7500, -24.0625, 1.3975, 1.3975
23.8125, -24.0625, 1.3877, 1.3877
23.8750, -24.0625, 1.3807, 1.3807
23.9375, -24.1250, 1.4101, 1.4101
24.0000, -24.1250, 1.4101, 1.4101
24.0625, -24.1250, 1.3975, 1.3975
24.1250, -24.1250, 1.3877, 1.3877
24.1875, -24.1250, 1.3807, 1.3807
24.2500, -24.1875, 1.4101, 1.4101
24.3125, -24.1875, 1.4252, 1.4252
24.3750, -24.1875, 1.4101, 1.4101
24.4375, -24.1875, 1.3975, 1.3975
24.5000, -24.1875, 1.3877, 1.3877
24.5625, -24.2500, 1.3975, 1.3975
24.6250, -24.2500, 1.4101, 1.4101
24.6875, -24.2500, 1.4252, 1.4252
24.7500, -24.2500, 1.4101, 1.4101
24.8125, -24.2500, 1.3975, 1.3975
24.8750, -24.3125, 1.3807, 1.3807
24.9375, -24.3125, 1.3877, 1.3877
25.0000, -24.3125, 1.3975, 1.3975
25.0625, -24.3125, 1.4101, 1.4101
25.1250, -24.3125, 1.4101, 1.4101
25.1875, -24.3125, 1.3975, 1.3975
25.2500, -24.3750, 1.3807, 1.3807
25.3125, -24.3750, 1.3877, 1.3877
25.3750, -24.3750, 1.3975, 1.3975
25.4375, -24.3750, 1.4101, 1.4101
25.5000, -24.3750, 1.4252, 1.4252
25.5625, -24.3750, 1.4252, 1.4252
25.6250, -24.3750, 1.4101, 1.4101
25.6875, -24.3750, 1.3975, 1.3975
25.7500, -24.3750, 1.3877, 1.3877
25.8125, -24.3750, 1.3807, 1.3807
25.8750, -24.4375, 1.3975, 1.3975
25.9375, -24.4375, 1.4101, 1.4101
26.0000, -24.4375, 1.4252, 1.4252
26.0625, -24.4375, 1.4252, 1.4252
26.1250, -24.4375, 1.4101, 1.4101
26.1875, -24.4375, 1.3975, 1.3975
26.2500, -24.4375, 1.3877, 1.3877
26.3125, -24.4375, 1.3807, 1.3807
26.3750, -24.4375, 1.3764, 1.3764
26.4375, -24.5000, 1.3975, 1.3975
26.5000, -24.5000, 1.4101, 1.4101
26.5625, -24.5000, 1.4252, 1.4252
26.6250, -24.5000, 1.4375, 1.4375
26.6875, -24.5000, 1.4252, 1.4252
26.7500, -24.5000, 1.4101, 1.4101
26.8125, -24.5000, 1.3975, 1.3975
26.8750, -24.5000, 1.3877, 1.3877
26.9375, -24.5625, 1.3750, 1.3750
27.0000, -24.5625, 1.3764, 1.3764
27.0625, -24.5625, 1.3807, 1.3807
27.1250, -24.5625, 1.3877, 1.3877
27.1875, -24.5625, 1.3975, 1.3975
27.2500, -24.5625, 1.4101, 1.4101
27.3125, -24.5625, 1.4252, 1.4252
27.3750, -24.5625, 1.4375, 1.4375
27.4375, -24.5625, 1.4375, 1.4375
27.5000, -24.5625, 1.4252, 1.4252
27.5625, -24.5625, 1.4101, 1.4101
27.6250, -24.5625, 1.3975, 1.3975
27.6875, -24.5625, 1.3877, 1.3877
27.7500, -24.5625, 1.3807, 1.3807
27.8125, -24.5625, 1.3764, 1.3764
27.8750, -24.5625, 1.3750, 1.3750
27.9375, -24.5625, 1.3750, 1.3750
28.0000, -24.5625, 1.3750, 1.3750
28.0625, -24.5625, 1.3750, 1.3750
28.1250, -24.5625, 1.3750, 1.3750
28.1875, -24.5625, 1.3750, 1.3750
28.2500, -24.5625, 1.3750, 1.3750
28.3125, -24.6250, 1.4375, 1.4375
28.3750, -24.6250, 1.4375, 1.4375
28.4375, -24.6250, 1.4375, 1.4375
28.5000, -24.6250, 1.4375, 1.4375
28.5625, -24.6250, 1.4375, 1.4375
28.6250, -24.6250, 1.4375, 1.4375
28.6875, -24.6250, 1.4375, 1.4375
28.7500, -24.6250, 1.4375, 1.4375
28.8125, -24.6250, 1.4375, 1.4375
28.8750, -24.6250, 1.4375, 1.4375
28.9375, -24.6250, 1.4375, 1.4375
29.0000, -24.6250, 1.4375, 1.4375
29.0625, -24.6250, 1.4375, 1.4375
29.1250, -24.6250, 1.4375, 1.4375
29.1875, -24.6250, 1.4375, 1.4375
29.2500, -24.6250, 1.4375, 1.4375
29.3125, -24.6250, 1.4375, 1.4375
29.3750, -24.6250, 1.4375, 1.4375
29.4375, -24.6250, 1.4375, 1.4375
29.5000, -24.6250, 1.4375, 1.4375
29.5625, -24.6250, 1.4375, 1.4375
29.6250, -24.6250, 1.4375, 1.4375
29.6875, -24.6250, 1.4375, 1.4375
29.7500, -24.6250, 1.4375, 1.4375
29.8125, -24.6250, 1.4375, 1.4375
29.8750, -24.6250, 1.4375, 1.4375
29.9375, -24.6250, 1.4375, 1.4375
30.0000, -24.6250, 1.4375, 1.4375
30.0625, -24.6250, 1.4375, 1.4375
30.1250, -24.6250, 1.4375, 1.4375
30.1875, -24.6250, 1.4375, 1.4375
30.2500, -24.6250, 1.4375, 1.4375
30.3125, -24.6250, 1.4375, 1.4375
30.3750, -24.6250, 1.4375, 1.4375
30.4375, -24.6250, 1.4375, 1.4375
30.5000, -24.6250, 1.4375, 1.4375
30.5625, -24.6250, 1.4375, 1.4375
30.6250, -24.6250, 1.4375, 1.4375
30.6875, -24.5625, 1.3750, 1.3750
30.7500, -24.5625, 1.3750, 1.3750
30.8125, -24.5625, 1.3750, 1.3750
30.8750, -24.5625, 1.3750, 1.3750
30.9375, -24.5625, 1.3750, 1.3750
31.0000, -24.5625, 1.3750, 1.3750
31.0625, -24.5625, 1.3750, 1.3750
31.1250, -24.5625, 1.3764, 1.3764
31.1875, -24.5625, 1.3807, 1.3807
31.2500, -24.5625, 1.3877, 1.3877
31.3125, -24.5625, 1.3975, 1.3975
31.3750, -24.5625, 1.4101, 1.4101
31.4375, -24.5625, 1.4252, 1.4252
31.5000, -24.5625, 1.4375, 1.4375
31.5625, -24.5625, 1.4375, 1.4375
31.6250, -24.5625, 1.4252, 1.4252
31.6875, -24.5625, 1.4101, 1.4101
31.7500, -24.5625, 1.3975, 1.3975
31.8125, -24.5625, 1.3877, 1.3877
31.8750, -24.5625, 1.3807, 1.3807
31.9375, -24.5625, 1.3764, 1.3764
32.0000, -24.5625, 1.3750, 1.3750
32.0625, -24.5000, 1.3877, 1.3877
32.1250, -24.5000, 1.3975, 1.3975
32.1875, -24.5000, 1.4101, 1.4101
32.2500, -24.5000, 1.4252, 1.4252
32.3125, -24.5000, 1.4375, 1.4375
32.3750, -24.5000, 1.4252, 1.4252
32.4375, -24.5000, 1.4101, 1.4101
32.5000, -24.5000, 1.3975, 1.3975
32.5625, -24.4375, 1.3764, 1.3764
32.6250, -24.4375, 1.3807, 1.3807
32.6875, -24.4375, 1.3877, 1.3877
32.7500, -24.4375, 1.3975, 1.3975
32.8125, -24.4375, 1.4101, 1.4101
32.8750, -24.4375, 1.4252, 1.4252
32.9375, -24.4375, 1.4252, 1.4252
33.0000, -24.4375, 1.4101, 1.4101
33.0625, -24.4375, 1.3975, 1.3975
33.1250, -24.3750, 1.3807, 1.3807
33.1875, -24.3750, 1.3877, 1.3877
33.2500, -24.3750, 1.3975, 1.3975
33.3125, -24.3750, 1.4101, 1.4101
33.3750, -24.3750, 1.4252, 1.4252
33.4375, -24.3750, 1.4252, 1.4252
33.5000, -24.3750, 1.4101, 1.4101
33.5625, -24.3750, 1.3975, 1.3975
33.6250, -24.3750, 1.3877, 1.3877
33.6875, -24.3750, 1.3807, 1.3807
33.7500, -24.3125, 1.3975, 1.3975
33.8125, -24.3125, 1.4101, 1.4101
33.8750, -24.3125, 1.4101, 1.4101
33.9375, -24.3125, 1.3975, 1.3975
34.0000, -24.3125, 1.3877, 1.3877
34.0625, -24.3125, 1.3807, 1.3807
34.1250, -24.2500, 1.3975, 1.3975
34.1875, -24.2500, 1.4101, 1.4101
34.2500, -24.2500, 1.4101, 1.4101
34.3125, -24.2500, 1.3975, 1.3975
34.3750, -24.2500, 1.3877, 1.3877
34.4375, -24.1875, 1.3877, 1.3877
34.5000, -24.1875, 1.3975, 1.3975
34.5625, -24.1875, 1.4101, 1.4101
34.6250, -24.1875, 1.4252, 1.4252
34.6875, -24.1875, 1.4101, 1.4101
34.7500, -24.1250, 1.3807, 1.3807
34.8125, -24.1250, 1.3877, 1.3877
34.8750, -24.1250, 1.3975, 1.3975
34.9375, -24.1250, 1.4101, 1.4101
35.0000, -24.1250, 1.4101, 1.4101
35.0625, -24.0625, 1.3807, 1.3807
35.1250, -24.0625, 1.3877, 1.3877
35.1875, -24.0625, 1.3975, 1.3975
35.2500, -24.0625, 1.4101, 1.4101
35.3125, -24.0625, 1.4101, 1.4101
35.3750, -24.0625, 1.3975, 1.3975
35.4375, -24.0000, 1.3877, 1.3877
35.5000, -24.0000, 1.3975, 1.3975
35.5625, -24.0000, 1.4101, 1.4101
35.6250, -24.0000, 1.4101, 1.4101
35.6875, -24.0000, 1.3975, 1.3975
35.7500, -24.0000, 1.3835, 1.3835
35.8125, -23.9375, 1.4101, 1.4101
35.8750, -23.9375, 1.4101, 1.4101
35.9375, -23.9375, 1.3975, 1.3975
36.0000, -23.9375, 1.3877, 1.3877
36.0625, -23.8750, 1.4101, 1.4101
36.1250, -23.8750, 1.4252, 1.4252
36.1875, -23.8750, 1.4101, 1.4101
36.2500, -23.8750, 1.3975, 1.3975
36.3125, -23.8750, 1.3835, 1.3835
36.3750, -23.8125, 1.4101, 1.4101
36.4375, -23.8125, 1.4101, 1.4101
36.5000, -23.8125, 1.3975, 1.3975
36.5625, -23.7500, 1.3975, 1.3975
36.6250, -23.7500, 1.4101, 1.4101
36.6875, -23.7500, 1.4101, 1.4101
36.7500, -23.7500, 1.3975, 1.3975
36.8125, -23.6875, 1.3975, 1.3975
36.8750, -23.6875, 1.4101, 1.4101
36.9375, -23.6875, 1.4101, 1.4101
37.0000, -23.6875, 1.3975, 1.3975
37.0625, -23.6250, 1.3975, 1.3975
37.1250, -23.6250, 1.4101, 1.4101
37.1875, -23.6250, 1.4045, 1.4045
37.2500, -23.5625, 1.3835, 1.3835
37.3125, -23.5625, 1.4045, 1.4045
37.3750, -23.5625, 1.4101, 1.4101
37.4375, -23.5625, 1.3975, 1.3975
37.5000, -23.5000, 1.3975, 1.3975
